Price,Close,High,Low,Open,Volume,rsi,macd,atr,ema20,ema50,vol_z,sma20,sma50,sma200
2025-03-20,1359.5595703125,1369.674239589004,1332.2746090992807,1342.8334093021192,855272.0,53.904937335398536,11.077206859746006,34.81512694641562,1332.0193869252537,1373.1263971746362,0.9697549103428572,1314.04609375,1375.0395239257812,1415.272957763672
2025-03-21,1373.226806640625,1401.3012561321978,1367.7501550651525,1401.2518680942355,1093226.0,56.38600577232426,12.301616663811767,35.30988115165005,1335.9439030886224,1373.1303348007534,1.681350399813287,1317.1421691894532,1371.4308081054687,1416.3821649169922
2025-03-24,1374.1148681640625,1386.548486685528,1367.0099777114028,1381.515845910009,440777.0,56.54965899302124,12.648632418040357,34.18335456754112,1339.5792330958072,1373.1689439522556,-0.7228694464607525,1319.48828125,1368.5365307617187,1417.5545434570313
2025-03-25,1347.520751953125,1389.4102382979045,1342.0439801741122,1389.4102382979045,426894.0,50.44521813135554,10.644846269059844,35.12499053584477,1340.3355682250756,1372.1631325013095,-0.7419106356893573,1322.4018005371095,1366.2076904296875,1418.4873010253907
2025-03-26,1343.524169921875,1357.487372129203,1337.850086942036,1357.487372129203,421022.0,49.57905048414099,8.690524892287264,34.018725868082086,1340.6392445771517,1371.040035929567,-0.6943416489028846,1323.3244506835938,1365.3047705078125,1419.2875274658204
2025-03-27,1389.5089111328125,1400.166367526209,1349.4449747315923,1350.086416910027,768855.0,58.424654931115555,10.0395396520661,35.634688134957216,1345.2934985348336,1371.7643055453807,0.7997918551810453,1326.3835205078126,1365.2495068359376,1419.8532305908202
2025-03-28,1382.7987060546875,1401.7451605695394,1372.4373373915546,1398.2913710151618,959532.0,56.85715212215252,10.00255341430849,35.18276920945919,1348.8654230605339,1372.197027133981,1.4879923551950944,1329.6350158691407,1364.9958984375,1420.3512249755859
2025-04-01,1387.5845947265625,1394.5908291787412,1368.6874085058653,1389.360757011819,365985.0,57.72826361056873,9.809643485910758,34.51995859970324,1352.5529632192033,1372.8004611572194,-0.9386691797638925,1335.6396789550781,1364.5735473632812,1420.8628271484374
2025-04-02,1415.510986328125,1421.2344574263973,1376.4338470703722,1396.2191761921308,870739.0,62.48789463178479,10.983530940925974,35.25429086801194,1358.548965420053,1374.4753837129413,1.1746417439963805,1341.9699768066407,1364.1117260742187,1421.4769561767578
2025-04-03,1415.2142333984375,1419.2218646916829,1398.787619880803,1419.024001712561,230919.0,62.407481915371605,11.126394558123014,34.195716149645364,1363.9456576084706,1376.072985661392,-1.3764345375990694,1349.18095703125,1364.0367138671875,1422.0768225097656
