Price,Close,High,Low,Open,Volume,rsi,macd,atr,ema20,ema50,vol_z,sma20,sma50,sma200
2024-08-06,1561.1351318359375,1581.7071800499832,1532.900895496791,1576.7797433520082,789988.0,79.57968219942217,0.5606794423036803,40.41126273214619,1495.3294473373114,1414.4798014993175,0.4809434733408349,1497.7744201660157,1409.3343872070313,1251.4977740478516
2024-08-07,1613.538330078125,1655.6185877301036,1555.6654948126768,1570.817361352171,1123804.0,84.96275144108216,3.91020845694446,44.66425060252338,1506.58743616977,1422.2860183063297,1.471086666841133,1506.3838806152344,1415.7193017578124,1253.4612384033203
2024-08-08,1570.0537109375,1615.6816988197534,1553.349629729265,1612.7498982859163,1738932.0,68.76370958708532,2.6388774652044873,45.92623763737803,1512.6318432905064,1428.0808297820618,2.509491352453321,1512.2389038085937,1421.383505859375,1255.0790850830078
2024-08-09,1582.52001953125,1608.8079401179089,1575.5970678196556,1586.6098156899188,360476.0,70.50017857811174,2.102569174666961,45.41395131902309,1519.2878600753393,1434.1372685957554,-0.6525634065211403,1518.7751342773438,1426.9346606445313,1256.7596307373046
2024-08-12,1590.133056640625,1601.4168379330258,1529.2298943154294,1570.0782941542864,667034.0,71.54066654368816,1.740556411824187,47.32630791177833,1526.0350216529855,1440.2547504798679,0.0013053887592561974,1525.5811584472656,1432.9006372070312,1258.461361694336
2024-08-13,1604.6689453125,1629.207481721122,1573.921670779624,1589.0981985652036,430402.0,73.46510229715471,1.9445991498349073,47.89484384247258,1533.5239667634155,1446.7023659635004,-0.506707619107861,1531.9806701660157,1438.9557421875,1260.2538751220702
2024-08-14,1580.623291015625,1608.783545816045,1576.7798660324197,1604.6692080323708,288740.0,65.56666002925832,0.02612217841127773,46.75976069541206,1538.0096166921974,1451.9541669459365,-0.7879814230424453,1537.149560546875,1444.2713061523436,1262.0301342773437
2024-08-16,1626.423828125,1635.2685538084409,1581.805860374657,1581.805860374657,454020.0,71.78833986930728,1.33522193050851,47.32301084522662,1546.4300177810358,1458.7961144431547,-0.3757322030179244,1544.8314453125,1450.7944482421874,1264.0274450683594
2024-08-19,1631.4249267578125,1645.172546975078,1621.126632440228,1630.9815055857612,173318.0,72.37529604084226,1.991910982653188,45.66036110877115,1554.5247710169192,1465.5658717888275,-0.9283853813673383,1552.6426513671875,1456.1367724609374,1266.039853515625
2024-08-20,1649.418212890625,1653.663429525306,1624.1932501386436,1630.4871378186886,319226.0,74.4360877480598,3.029848008202052,44.50391955719194,1563.5622416715578,1472.7757675183097,-0.5226147458395687,1559.567333984375,1462.0361279296876,1268.3117657470702
2024-08-21,1624.1192626953125,1670.9654846489193,1621.626365416852,1641.3718955161007,924184.0,66.88136874982291,1.4826184831022005,44.84929096254018,1569.3295770071534,1478.710806544859,0.9414241105638721,1565.252947998047,1467.0007495117188,1270.6120434570312
2024-08-22,1632.21484375,1643.2969981562294,1623.502177003831,1627.081054250826,461226.0,68.0005676107622,0.5239467566707248,43.05968597610148,1575.3186500302816,1484.7305727097666,-0.2009200123749931,1572.1809997558594,1472.2110522460937,1273.0258251953126
2024-08-23,1630.9559326171875,1641.27304347087,1619.18273367101,1624.0697037215532,408616.0,67.61789422959178,-0.6137492060343135,41.56187339208423,1580.6174388480822,1490.4649005492734,-0.34305380853370654,1579.3553039550782,1477.2163208007812,1275.3999182128907
2024-08-26,1638.952880859375,1646.2587505873023,1625.08171924747,1629.9933954118635,563792.0,68.81830352581042,-1.2119280089144127,40.105813245494815,1586.1731952301102,1496.28795860065,-0.009223473384158612,1585.45615234375,1482.8762426757812,1277.8126507568359
2024-08-27,1651.4420166015625,1660.5990300054084,1634.4114974175,1638.952945096487,406676.0,70.64830021432907,-1.1511472461494634,39.111650341381505,1592.389273455963,1502.372431463431,-0.4508922614316836,1592.19130859375,1488.5316967773438,1280.1514392089844
2024-08-28,1659.9573974609375,1676.8152168038016,1642.1864196227964,1656.1564068601,324290.0,71.86089907463293,-0.9315016776035279,38.79144654421177,1598.824332885008,1508.5522340515683,-0.641977309156987,1599.0220947265625,1494.6279711914062,1282.6269946289062
2024-08-29,1658.0074462890625,1665.9796556951744,1643.0008919303284,1644.827329323369,437590.0,71.1361649846951,-1.289546870731236,37.66196920282851,1604.4608198758704,1514.4132227667644,-0.34452396909984817,1605.778790283203,1500.9449194335937,1284.8910900878907
2024-08-30,1686.959228515625,1707.6920340468314,1653.4412411136998,1654.625924651482,524892.0,75.14434728700782,-0.01589254930924966,38.846885183564446,1612.3178111748946,1521.1797327961317,-0.15258537934595792,1613.776123046875,1508.2814208984375,1286.978237915039
2024-09-02,1673.0634765625,1704.483503677082,1662.7710706109078,1688.2428530924983,222526.0,70.1119284592106,-0.520680956943238,39.05156717517942,1618.103112640381,1527.1359580418716,-0.9521380176840073,1621.13779296875,1515.1458666992187,1288.868325805664
2024-09-03,1665.412109375,1695.6474533391995,1660.451020670096,1673.433731243053,275426.0,67.43398762035412,-1.714012185592857,38.77620042474542,1622.6087313770113,1532.5585522117983,-0.7320521222508399,1626.551202392578,1522.1071069335937,1290.6818688964843
2024-09-04,1679.9990234375,1685.6017450749807,1656.2549762097,1662.5735696991596,679758.0,69.8020624000392,-1.8532505830963473,38.102669599069365,1628.0744734780103,1538.3405314755514,0.3851115009535099,1632.4943969726562,1529.2009301757812,1292.5389904785156
