Price,Close,High,Low,Open,Volume,rsi,macd,atr,ema20,ema50,vol_z,sma20,sma50,sma200
2024-08-06,16240.71875,16396.618216970204,16111.26947679582,16333.823281224875,6277.0,49.72908324257836,-43.52430585163083,385.9575985090766,16305.372596507666,16100.077224411847,-0.5659791123920885,16346.481298828125,16055.08689453125,16080.863413085937
2024-08-07,16635.341796875,16667.24643697858,16246.366126164108,16246.366126164108,6656.0,56.97112776069308,-21.2482146082163,388.85546197118407,16336.798234637889,16121.067991959422,-0.4535517775653483,16374.2921875,16082.9962890625,16079.631674804688
2024-08-08,16457.142578125,16891.199877416653,16401.299092310415,16666.279911052607,6705.0,53.24120133782629,-18.656596397685433,396.07298505225936,16348.259600684281,16134.247387495328,-0.37492279473233825,16387.33125,16108.1168359375,16077.876801757813
2024-08-09,16427.701171875,16691.379197898714,16410.47055487121,16511.49185804223,2316.0,52.628144215740186,-19.00278321618896,387.84696062191955,16355.825464607207,16145.755379039629,-1.7170906282344898,16392.31474609375,16130.78162109375,16076.188090820313
2024-08-12,16478.13671875,16891.19822981774,16362.250985916722,16362.250985916722,6726.0,53.61353221044106,-16.03130989895027,397.9255522847122,16367.474155477948,16158.789941381212,-0.279283576476399,16397.38017578125,16155.26791015625,16074.943081054687
2024-08-13,16410.1796875,16603.53439157816,16368.286231129534,16603.53439157816,3890.0,52.042702677325735,-18.655160175028385,386.30573858213455,16371.541349003859,16168.648362797636,-1.0919783271114465,16405.771142578124,16175.1197265625,16074.555170898437
2024-08-14,16197.859375,16429.77795035683,16114.64938536682,16411.4368351361,12837.0,47.372626828082886,-33.818912779623844,381.2216547541257,16355.000208622538,16169.793892687925,1.5227900101709577,16400.4330078125,16189.87953125,16073.449243164063
2024-08-16,16395.171875,16461.05509286684,16076.036840697496,16217.40747491486,7240.0,51.70947077194609,-29.828634997112957,381.49284028378435,16358.826081610869,16178.632244935457,-0.03246183661457888,16400.1072265625,16205.20693359375,16072.904780273437
2024-08-19,16379.3876953125,16627.667703614636,16282.22768082475,16362.204213426305,2038.0,51.34495862086845,-27.57350577026216,378.91763903422014,16360.784330534834,16186.505007695341,-1.457685949639067,16408.450048828126,16214.222109375,16073.3430859375
2024-08-20,16339.56640625,16539.870654475963,16260.84366923544,16458.638458176873,2355.0,50.380066771996255,-27.99529821122843,371.78259233467026,16358.76357584104,16192.507415481798,-1.3083454201862037,16427.7734375,16221.0247265625,16074.696958007813
