Price,Close,High,Low,Open,Volume
Ticker,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS
Date,,,,,
2023-10-11,1229.12451171875,1231.2738542177203,1212.9925008445039,1213.4865914762124,898340
2023-10-12,1226.283447265625,1233.9913090990217,1221.7872950524697,1229.1244682975846,248616
2023-10-13,1215.4876708984375,1227.4199112876981,1212.6959864797407,1225.3447547801218,292336
2023-10-16,1202.9132080078125,1217.0688576237835,1195.0818225423836,1215.4630629268274,825776
2023-10-17,1199.3309326171875,1207.6315586550634,1195.4770015981196,1206.3469954004372,599216
2023-10-18,1189.399658203125,1203.0859444035907,1188.0409089830362,1195.7487709916682,312428
2023-10-19,1173.3912353515625,1188.7573822809902,1170.9948474338325,1185.8175670216026,649728
2023-10-20,1172.575927734375,1178.875583636201,1163.5835018667005,1173.3912496982316,554286
2023-10-23,1161.607177734375,1177.0969686574604,1158.6426336823092,1172.5759666014965,295934
2023-10-25,1149.403076171875,1167.733766478943,1146.9326229800117,1166.3009518787012,447704
2023-10-26,1134.1356201171875,1147.2784795464945,1132.7275341532184,1146.784388900695,560530
2023-10-27,1144.709228515625,1153.4051514762834,1134.4815763070308,1137.8166881551115,844526
2023-10-30,1142.41162109375,1151.2311872384396,1135.914377451147,1151.2311872384396,623548
2023-10-31,1214.474853515625,1224.356666807046,1161.2860417255936,1168.030331045947,4629484
2023-11-01,1188.955078125,1217.933446356229,1186.632755579158,1211.510267937312,1131352
2023-11-02,1199.8004150390625,1203.7778691142828,1183.4706940393112,1200.6403450644093,475760
2023-11-03,1213.239501953125,1214.9688191010932,1192.9077214501924,1204.4941222160612,319926
2023-11-06,1202.4683837890625,1221.1203057181315,1196.1687280381848,1220.4038984053163,650950
2023-11-07,1204.7413330078125,1209.0151691523859,1196.193540091058,1209.0151691523859,357274
2023-11-08,1221.9603271484375,1229.6681900715516,1204.2225198400358,1217.439445639901,701360
2023-11-09,1214.25244140625,1235.2265643432802,1210.769078369283,1217.9828497560857,1347756
2023-11-10,1201.801513671875,1220.4039795216377,1195.1065608327833,1214.252574681554,652400
2023-11-13,1199.948486328125,1209.4597304329525,1196.6379827869714,1207.952729968748,363606
2023-11-15,1215.6112060546875,1220.2308810874044,1196.119354747493,1200.1461451473194,810614
2023-11-16,1215.018310546875,1218.501552969278,1208.5704037313635,1215.7099891744572,350008
2023-11-17,1240.3157958984375,1252.1739716234704,1217.9581937501985,1219.8357623655156,1573676
2023-11-20,1227.0987548828125,1245.108333437371,1223.4918693151942,1240.315678660372,416130
2023-11-21,1233.052734375,1237.573615791386,1221.2191662297557,1227.3212343051414,451986
2023-11-22,1229.470458984375,1239.0804975464857,1224.3813014047387,1233.0278873704722,286336
2023-11-23,1239.8216552734375,1243.1320384044004,1226.8023187823528,1229.4704805895085,506884
2023-11-24,1237.25244140625,1243.3543885398801,1226.332989821186,1243.0826145576311,495496
2023-11-28,1229.322265625,1242.2921451850416,1226.20947040507,1230.7798089167038,458588
2023-11-29,1237.0054931640625,1243.0827121166924,1227.8153581278366,1229.7669922174475,770168
2023-11-30,1261.0924072265625,1266.650927428915,1228.8035327334087,1237.0054863497014,1788844
2023-12-01,1265.934326171875,1272.8515953567082,1256.9913576737586,1269.8129860729828,601000
