Price,Close,High,Low,Open,Volume
Ticker,VBL.NS,VBL.NS,VBL.NS,VBL.NS,VBL.NS
Date,,,,,
2023-10-11,365.39898681640625,378.67861733572397,363.9456020782314,375.49311612356706,6850962
2023-10-12,368.20623779296875,370.2967410278293,362.3727394472905,367.33021507516196,4372975
2023-10-13,370.1175231933594,371.11299800601444,362.751015655608,362.751015655608,3364592
2023-10-16,367.38995361328125,370.11754503951823,365.4587299323817,370.07774791788887,4550210
2023-10-17,370.3564758300781,371.8695866823374,365.5383811478896,369.52028059229156,4602577
2023-10-18,368.4650573730469,368.9229672751888,364.34377711532966,368.9229672751888,6472717
2023-10-19,372.1483154296875,375.8913105987004,362.37274508137165,365.5383782025703,6049895
2023-10-20,368.80352783203125,371.5510177187675,365.29943696972947,371.5510177187675,4265650
2023-10-23,367.4297790527344,369.26144916031865,364.741984763208,365.1401686336425,3243855
2023-10-25,352.0795593261719,367.1311351238259,348.9139563994158,366.7329512352154,9110125
2023-10-26,347.40081787109375,350.40714092766683,329.76100262966946,350.327516308064,11486027
2023-10-27,366.912109375,368.72388090556336,349.2125676351837,350.36732211468075,6026657
2023-10-30,364.921142578125,370.71481326491323,362.65146122591153,366.8921936390526,4445290
2023-10-31,361.875,367.88767649166715,359.68497359724034,366.4940178027326,5579412
2023-11-01,365.6379089355469,369.36100562100194,362.83069288029344,363.46778100209116,4244585
2023-11-02,368.7835998535156,373.30306412274973,366.3546388192651,368.3256899344464,2675412
2023-11-03,379.01708984375,380.62975426205685,368.78360946117203,372.2279743624379,4721982
2023-11-06,376.5483093261719,384.532006322806,373.34287924003814,381.78448614055424,8992325
2023-11-07,394.6858825683594,397.5926521407081,377.24514361634004,378.24061847416834,12289935
2023-11-08,401.71392822265625,407.74650336448735,397.0351842904526,401.57454716193973,6577727
2023-11-09,399.205322265625,404.1627980652059,396.8759147104915,404.1627980652059,3141805
2023-11-10,401.7935485839844,403.8641532560869,395.6813488861695,399.7030453517682,3047152
2023-11-13,401.6741027832031,404.6605273392121,399.125689592434,402.96820793901435,3249237
2023-11-15,403.84423828125,405.75556340009274,397.3935805615553,403.36642978615095,5883120
2023-11-16,415.9292907714844,418.4976024042246,404.4016755044565,404.76006223197845,7685665
2023-11-17,415.4913024902344,417.0243422829655,406.7709329833898,415.9293138595861,4609025
2023-11-20,417.04425048828125,422.2207320387977,409.3392846046927,414.91391965357803,2630890
2023-11-21,413.2415466308594,421.00626928530414,407.2487985099016,420.07052042402887,5115550
2023-11-22,410.6732482910156,414.5157670524639,404.66057102948776,414.2569642210483,3425477
2023-11-23,419.9311218261719,428.0542005329869,408.14470283377824,412.18632843635896,6097717
2023-11-24,425.32659912109375,427.13834028093777,421.006241866958,422.081341350596,3789175
2023-11-28,422.06146240234375,428.05421041149066,419.65239975817155,428.05421041149066,3908002
2023-11-29,422.4197998046875,427.8949115522867,419.9112140860374,426.0632414495368,1836362
2023-11-30,439.9998779296875,449.835174179421,421.8424266252448,424.4704643974494,12976745
2023-12-01,433.6487731933594,448.36189107197566,432.29494190490493,441.99085775678356,3427552
2023-12-04,426.242431640625,442.98632660237956,424.0723036687948,442.3890355917382,4750715
2023-12-05,422.8179931640625,431.97637426285036,420.289508828011,430.0252519934414,2822605
2023-12-06,427.4768371582031,429.208953731298,420.58813760839047,422.0813499312605,2751995
2023-12-07,428.8505554199219,430.841505130097,425.0279356219235,430.04513739781964,1896300
2023-12-08,424.8487548828125,431.1003357199679,422.08133601749967,429.36821920397165,3151082
2023-12-11,439.70123291015625,441.5926289611357,426.4613997943399,427.6161542120752,5401315
2023-12-12,430.0849914550781,441.19449516938033,428.4523980097743,439.70128279454644,3949642
2023-12-13,435.1221008300781,436.01802219705195,427.1383723962942,432.73296705831984,2889550
2023-12-14,439.68133544921875,443.78268707303795,435.73926345091945,439.60171082619996,3080182
2023-12-15,437.6107177734375,445.89307520401104,436.0179520553304,441.5129618843467,2900972
2023-12-18,450.7510070800781,455.5293046635822,435.63970590838926,437.61075707927637,4576600
2023-12-19,466.5392761230469,469.06779090697233,452.1646159566424,455.2107667584375,6633475
2023-12-20,499.09124755859375,549.5021076705183,492.02340054974974,535.565460012208,32725090
2023-12-21,514.1826782226562,517.646911185414,470.6405885352823,495.76636350292506,11949305
2023-12-22,493.19805908203125,514.1826858035212,488.00167918180085,514.1826858035212,16113987
2023-12-26,497.7572937011719,500.8432716269481,490.96817871983984,500.5247124029821,4239532
2023-12-27,492.5809020996094,498.5338226166346,491.76460538259465,496.1646178503589,5993535
2023-12-28,492.8794860839844,496.7419332311478,486.5880779551919,492.9790396414899,3702457
2023-12-29,492.5211486816406,495.26863862172183,488.0215828969094,495.26863862172183,2874020
2024-01-01,494.7510070800781,499.3301975273394,492.5609502289369,494.47227533352213,1973717
2024-01-02,492.22247314453125,497.73741217771493,490.66953484889524,497.73741217771493,2455487
2024-01-03,488.1012878417969,493.65602473072386,480.2768388883042,487.822556069225,4077752
2024-01-04,501.7193298339844,508.6478263587702,491.3663973577509,496.14466453771036,5967980
2024-01-05,509.3446350097656,510.8776746935615,495.4478154390848,501.71929446814477,5074407
2024-01-08,505.50213623046875,515.2379098043399,501.7193438059471,509.34468509742464,4137392
